Name	County	Location	AcresBurned	Year	Month	Extinguished	Started
Cow Fire	Shasta	Highway 44 and South Cow Creek Rd,  southeast of Millville in Shasta County	761	2021	6	6/26/21	6/20/21
76 Fire	Riverside	89000 Block of Avenue 76, Thermal Riverside County	20	2021	6	6/21/21	6/20/21
Clevenger Fire	San Diego	San Pasqual Valley Road and Bandy Canyon Road, San Pasqual in San Diego County.	53	2021	6	6/21/21	6/20/21
Overland Fire	San Diego	Canebrake Canyon Road  and Great Southern Overland Stage Route , East of Mount Laguna	515	2021	6	6/24/21	6/19/21
Bautista Fire	Riverside	Hwy 371 and Bautista Road, West of Anza	95	2021	6	6/21/21	6/19/21
Inyo Creek Fire	Inyo	Whitney Portal Road, West of Lone Pine in Inyo County	592	2021	6	7/9/21	6/19/21
Alabama Fire	Inyo	Whitney Portal Road and Hogback Road, Northwest of Lone Pine	560	2021	6	6/21/21	6/18/21
Antelope Fire	Tulare	Avenue 380 and Road 208, Northeast of Woodlake	11	2021	6	6/20/21	6/18/21
Success Fire	Tulare	Success Valley Road and  Reservation Road, East of Porterville	800	2021	6	6/22/21	6/18/21
Nettle Fire	Tulare	Indian Service Rd BIA 70 and Bond Creek , east of Porterville	1265	2021	6	7/1/21	6/18/21
Willow Fire	Monterey	Willow Creek and Marble Peak Trail, Southeast of Big Sur	2877	2021	6	7/11/21	6/18/21
Crane Fire	Kern	Lebec Service Road and Crane Canyon Road, Northeast of Lebec	48	2021	6	6/20/21	6/18/21
Pomo Fire	Lake	Pomo Road Cross and Hwy 20, Upper Lake	42	2021	6	6/17/21	6/17/21
Park Fire	Butte	Upper Park Road and  Bidwell Park, northeast of Chico	402	2021	6	6/19/21	6/17/21
Equestrian Fire	El Dorado	Equestrian Way and Square Nail Trail, south of Pilot Hill	10	2021	6	6/16/21	6/16/21
Kathryn Fire	Riverside	Sage Road and Cactus Valley Road, South of Hemet	15	2021	6	6/15/21	6/15/21
Rock Fire	Shasta	Benson Dr and Rock Creek Rd, East of Whiskeytown	108	2021	6	6/20/21	6/15/21
Dairy Fire	Tehama	East Canal Rd and Tyler Rd, northeast of Proberta	165	2021	6	6/24/21	6/15/21
Silicon Fire	Santa Clara	Silicon Valley Road and Basking Ridge, East San Jose	35	2021	6	6/14/21	6/14/21
Flats Fire	Riverside	Pinyon Flats Transfer Station and Elks Trail Rd, near Mountain Center	341	2021	6	6/21/21	6/13/21
Goose Fire	Amador	Red Valley Road and Jackson Valley Road, Jackson Valley	67	2021	6		6/13/21
Beale Fire	Yuba	Hammonton Smartsville Rd and Henwood Ranch Rd east of Yuba City	150	2021	6	6/14/21	6/13/21
Farm Fire	San Bernardino	Ranchero Road and Caliente Road, West of Hesperia	250	2021	6	6/11/21	6/9/21
Sierra Fire	San Diego	Basilone Road and Stagecoach Road, West of Camp Pendleton North	1000	2021	6	6/11/21	6/9/21
Creek Fire	Yolo	Highway 16 and Road 41, North of Rumsey	34	2021	6	6/10/21	6/9/21
Intanko Fire	Yuba	Intanko Lane and Kapaka Lane, Northeast of Wheatland	939	2021	6		6/8/21
Buck Fire	Madera	Rd 600 and Rd 612,  East of Raymond	50	2021	6	6/8/21	6/6/21
Coyote Fire	Riverside	Old Banning Idyllwild Road, south of Shirleon Drive	43	2021	6	6/4/21	6/2/21
Scott Fire	Riverside	Winchester Road and Scott Road, South of Winchester	28	2021	6	6/1/21	6/1/21
Slope Fire	Fresno	Off Trimmer Springs Road and Sunnyslope Road in Fresno County.	25	2021	5		5/31/21
Smalley Fire	Madera	Road 222 and Tunoi Place , South of the town of North Fork in Madera County.	45	2021	5	6/3/21	5/31/21
Sargents Fire	Monterey	Wunpost Rd and Sargeant Canyon Rd, Northeast of Bradley	1118	2021	5		5/30/21
Live Oak Fire	Mariposa	Live Oak Rd and Yaqui Gulch Rd, West of Mormon Bar	197	2021	5	5/31/21	5/27/21
Mile Fire	Stanislaus	E. Sonora Road and 28 Mile Road, Northeast of Woodward Reservoir	508	2021	5	5/28/21	5/27/21
Lake Fire	Riverside	Santa Ana River Bottom near Lakeview Ave and Pedley Rd, Jurupa Valley	115	2021	5	5/27/21	5/24/21
Bluff Fire	Humboldt	Bluff Creek and Wright Place,  north of Weitchpec	25	2021	5	6/6/21	5/21/21
Tomki Fire	Mendocino	Tomki Road and Appaloosa Way, North of Redwood Valley	18	2021	5	5/24/21	5/21/21
WeeVill Fire	Los Angeles	Hwy 138 and 210th Street W, 15 miles west of Lancaster	300	2021	5	5/22/21	5/20/21
Parkside Fire	Riverside	Highway 111 And Parkside Drive, Southeast of  Mecca	17	2021	5	5/20/21	5/19/21
Settlers Fire	El Dorado	Settlers Trail, East of Latrobe	45	2021	5	5/21/21	5/19/21
Davis Fire	Riverside	Davis Road and Theodore Street, Southeast of Moreno Valley	300	2021	5	5/19/21	5/18/21
Fields Fire	Merced	La Grange Rd and Fields Rd, Community of Snelling	97	2021	5	5/15/21	5/14/21
R-1 Fire	Lassen	Cottonwood Mountains northeast Ravendale	29	2021	5	5/15/21	5/14/21
Palisades Fire	Los Angeles	Palisades Court and Michael Lane, Topanga Canyon	1202	2021	5	5/26/21	5/14/21
Quail Fire	Yuba	Quail Run Ave and Key Ct, northwest of Smartsville	35	2021	5	5/12/21	5/12/21
Pine Fire	Los Angeles	Hwy 138 and 248th St, Pinion Hills	442	2021	5	5/20/21	5/12/21
Gunnison Fire	Butte	Munjar Road and Meridian Road	550	2021	5	5/8/21	5/8/21
Granite Fire	Calaveras	Milton Road and Rock Creek Road	118	2021	5	5/8/21	5/8/21
Dillard Fire	Sacramento	Fig Road	44	2021	5	5/8/21	5/8/21
Bridge Fire	Riverside	Gilman Springs Road and Bridge Street	226	2021	5	5/6/21	5/5/21
Creek Fire	Riverside	Cahuilla Creek Motocross and Highway 371 in Anza	32	2021	5	5/4/21	5/4/21
Southern Fire	San Diego	14000 Blk Great Southern Overland , Agua Caliente in San Diego County.	5366	2021	5	5/6/21	5/2/21
Salmon Fire	El Dorado	Salmon Falls Road at the American River, North East of El Dorado Hills in El Dorado County.	32	2021	5		5/1/21
Sky Fire	Lake	Morgan Valley Road and Sloan Ranch Road, Southeast of Clearlake	65	2021	4	5/1/21	4/29/21
Campo Fire	Calaveras	Buckboard Lane and Campo Seco Rd, Campo Seco, Valley Springs	160	2021	4		4/29/21
North Fire	Los Angeles	West Live Oak Rd and Biscailuz Rd , Castaic	650	2021	4	5/3/21	4/28/21
Luis Fire	Merced	San Luis Reservoir near Santa Nella	93	2021	4	4/24/21	4/24/21
Wolves Fire	Kern	Dead end of Goldcrest St, south west of Bakersfield	50	2021	4		4/23/21
River Fire	Sutter	Garden Hwy  and Star Bend Road, South of Yuba City	80	2021	4	5/1/21	4/19/21
Turnout Fire	Mendocino	Highway 253 and Boonville Rd	200	2021	4	4/24/21	4/18/21
Paso Fire	San Diego	Lookout Road and Hwy 79, North of Cuyamaca Rancho State Park	28	2021	4	4/13/21	4/12/21
Westwood Fire	Ventura	Westwood Street and Cottonwood Drive in Simi Valley	25	2021	4	4/5/21	4/4/21
Woodman Fire	Shasta	Oak Run Road and Snider Ranch Road, South West of Oak Run in Shasta County.	35	2021	4	4/1/21	4/1/21
Line Fire	Tuolumne	Shortline Rd and Hells Hollow Rd, East of Groveland	23	2021	3		3/28/21
Refuge Fire	Siskiyou	Lower Klamath Lake Rd and Dorris Brownell Rd	873	2021	3	3/29/21	3/27/21
